epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
001,2.648,4.596,2.729,0.049,0.176,0.009,0.004
002,2.084,3.763,2.029,0.052,0.437,0.030,0.014
003,1.947,3.463,1.904,0.072,0.348,0.045,0.023
004,1.857,3.267,1.835,0.099,0.272,0.062,0.033
005,1.784,3.112,1.771,0.120,0.314,0.077,0.042
006,1.744,2.999,1.738,0.135,0.289,0.090,0.050
007,1.710,2.914,1.708,0.144,0.305,0.103,0.058
008,1.684,2.842,1.684,0.152,0.286,0.110,0.062
009,1.662,2.781,1.662,0.169,0.315,0.126,0.073
010,1.644,2.737,1.646,0.174,0.295,0.136,0.079
011,1.628,2.693,1.633,0.177,0.289,0.140,0.082
012,1.617,2.656,1.620,0.193,0.277,0.152,0.089
013,1.601,2.615,1.605,0.204,0.340,0.166,0.098
014,1.591,2.579,1.595,0.207,0.316,0.171,0.102
015,1.577,2.547,1.584,0.214,0.348,0.180,0.108
016,1.571,2.517,1.581,0.220,0.341,0.187,0.112
017,1.565,2.495,1.572,0.227,0.357,0.194,0.118
018,1.553,2.463,1.561,0.229,0.347,0.198,0.121
019,1.550,2.450,1.555,0.230,0.358,0.205,0.126
020,1.540,2.421,1.547,0.241,0.363,0.212,0.131
021,1.535,2.413,1.545,0.240,0.376,0.218,0.135
022,1.529,2.398,1.541,0.243,0.377,0.223,0.139
023,1.523,2.377,1.532,0.248,0.380,0.227,0.141
024,1.521,2.355,1.529,0.252,0.372,0.233,0.146
025,1.516,2.345,1.524,0.258,0.381,0.235,0.147
026,1.515,2.337,1.521,0.254,0.400,0.239,0.150
027,1.509,2.324,1.517,0.262,0.377,0.243,0.153
028,1.500,2.306,1.513,0.261,0.401,0.248,0.156
029,1.502,2.298,1.509,0.262,0.423,0.251,0.159
030,1.494,2.279,1.506,0.268,0.409,0.255,0.161
031,1.495,2.271,1.502,0.264,0.425,0.256,0.162
